SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,2 , 32 L,864 ,Jeedimetla,Ready to moveConstruction Status,864 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,3 , 35 L,1595 ,muthangi,Under ConstructionConstruction Status,1595 
seller,OWNER,2 , 65 L,1220 ,Suchitra,Ready to moveConstruction Status,1220 
seller,OWNER,Residential Plot, 28 L,1500 ,Shankarpalli,ResaleNew/Resale,1500 
seller,OWNER,3 , 69.7 L,1470 ,Bachupally,Ready to moveConstruction Status,1470 
seller,OWNER,3 , 69.5 L,1470 ,Bachupally,Ready to moveConstruction Status,1470 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 57 L,1200 ,Alwal,Ready to moveConstruction Status,1200 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,2 , 50 L,1182 ,Shankarpalli,Under ConstructionConstruction Status,1182 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,3 , 54.44 L,1945 ,Kompally,Under ConstructionConstruction Status,1945 
seller,OWNER,Residential Plot, 24 L,1850 ,Desh Mukhi,ResaleNew/Resale,1850 
seller,OWNER,Residential Plot, 43 L,450 ,Gachibowli,ResaleNew/Resale,450 
seller,OWNER,3 , 90 L,1525 ,East Marredpally,Ready to moveConstruction Status,1525 
seller,OWNER,4 , 90 L,2000 ,Malkajgiri,Under ConstructionConstruction Status,2000 
seller,OWNER,3 , 56 L,1310 ,Vanasthalipuram,Under ConstructionConstruction Status,1310 
seller,OWNER,Residential Plot, 7 L,900 ,Shadnagar,ResaleNew/Resale,900 
seller,OWNER,2 , 65 L,1228 ,Tellapur,Under ConstructionConstruction Status,1228 
seller,OWNER,2 , 35 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 35 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,4 , 2.3 Cr,2520 ,Balapur,Ready to moveConstruction Status,2520 
seller,OWNER,2 , 30 L,947 ,Bandlaguda Jagir,Ready to moveConstruction Status,947 
seller,OWNER,2 , 1.05 Cr,1100 ,Bandlaguda Jagir,Ready to moveConstruction Status,1100 
seller,OWNER,2 , 1.05 Cr,1100 ,Bandlaguda Jagir,Ready to moveConstruction Status,1100 
seller,OWNER,2 , 1.05 Cr,1100 ,Bandlaguda Jagir,Ready to moveConstruction Status,1100 
seller,OWNER,2 , 45 L,930 ,Patancheru,Under ConstructionConstruction Status,930 
seller,OWNER,2 , 45 L,930 ,Patancheru,Under ConstructionConstruction Status,930 
seller,OWNER,2 , 45 L,930 ,Patancheru,Under ConstructionConstruction Status,930 
seller,OWNER,2 , 45 L,930 ,Patancheru,Under ConstructionConstruction Status,930 
seller,OWNER,2 , 45 L,930 ,Patancheru,Under ConstructionConstruction Status,930 
seller,OWNER,2 , 40 L,950 ,Sainikpuri,Ready to moveConstruction Status,950 
seller,OWNER,2 , 51 L,1060 ,Patancheru,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 40 L,950 ,Sainikpuri,Ready to moveConstruction Status,950 
seller,OWNER,2 , 40 L,950 ,Sainikpuri,Ready to moveConstruction Status,950 
seller,OWNER,2 , 66 L,1120 ,Pedda Amberpet,Ready to moveConstruction Status,1120 
seller,OWNER,2 , 59.75 L,1200 ,Moosarambagh Road,Ready to moveConstruction Status,1200 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,6 , 1.8 Cr,3500 ,Kukatpally,Ready to moveConstruction Status,3500 
seller,OWNER,3 , 40 L,1600 ,Bhanur,Under ConstructionConstruction Status,1600 
seller,OWNER,3 , 40 L,1600 ,Bhanur,Under ConstructionConstruction Status,1600 
seller,OWNER,3 , 40 L,1600 ,Bhanur,Under ConstructionConstruction Status,1600 
seller,OWNER,2 , 1.5 Cr,1032 ,Osman Nagar,Ready to moveConstruction Status,1032 
seller,OWNER,2 , 1.5 Cr,1032 ,Osman Nagar,Ready to moveConstruction Status,1032 
seller,OWNER,2 , 1.5 Cr,1032 ,Osman Nagar,Ready to moveConstruction Status,1032 
seller,OWNER,Residential Plot, 20 L,1566 ,Kothur Patti Digwal,ResaleNew/Resale,1566 
seller,OWNER,Residential Plot, 20 L,1566 ,Kothur Patti Digwal,ResaleNew/Resale,1566 
seller,OWNER,Residential Plot, 20 L,1566 ,Kothur Patti Digwal,ResaleNew/Resale,1566 
seller,OWNER,Residential Plot, 36 L,1800 ,Nagole,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 20 L,1566 ,Kothur Patti Digwal,ResaleNew/Resale,1566 
seller,OWNER,Residential Plot, 20 L,1566 ,Kothur Patti Digwal,ResaleNew/Resale,1566 
seller,OWNER,2 , 35 L,1000 ,Patancheru,Under ConstructionConstruction Status,1000 
seller,OWNER,3 , 84.5 L,2325 ,Mettuguda,Ready to moveConstruction Status,2325 
seller,OWNER,Residential Plot, 48 L,1800 ,Bhanur,ResaleNew/Resale,1800 
seller,OWNER,2 , 58 L,990 ,Badangpet,Ready to moveConstruction Status,990 
seller,OWNER,2 , 30 L,1250 ,Kollur,Under ConstructionConstruction Status,1250 
seller,OWNER,2 , 44 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 44 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 44 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 44 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 44 L,1200 ,Pragathi Nagar Kukatpally,Under ConstructionConstruction Status,1200 
seller,OWNER,Residential Plot, 30 L,1575 ,Kothur,ResaleNew/Resale,1575 
seller,OWNER,Residential Plot, 30 L,1575 ,Kothur,ResaleNew/Resale,1575 
Kosher Proctor I Pvt Ltd,AGENT,3 , 1.09 Cr,1592 ,Kukatpally,Ready to moveConstruction Status,1592 
Kosher Proctor I Pvt Ltd,AGENT,2 , 94.11 L,1426 ,Kukatpally,Under ConstructionConstruction Status,1426 
seller,OWNER,3 , 91 L,1900 ,Bollaram,Ready to moveConstruction Status,1900 
seller,OWNER,2 , 87 L,1145 ,Kukatpally,Ready to moveConstruction Status,1145 
seller,OWNER,3 , 3 Cr,2005 ,Kompally,Ready to moveConstruction Status,2005 
seller,OWNER,3 , 82 L,1515 ,Kondapur,Ready to moveConstruction Status,1515 
seller,OWNER,3 , 82 L,1515 ,Kondapur,Ready to moveConstruction Status,1515 
seller,OWNER,3 , 82 L,1515 ,Kondapur,Ready to moveConstruction Status,1515 
seller,OWNER,2 , 40 L,750 ,LB Nagar,Ready to moveConstruction Status,750 
seller,OWNER,2 , 29.5 L,1040 ,Pragathi Nagar Kukatpally,Ready to moveConstruction Status,1040 
seller,OWNER,2 , 22 L,1100 ,Shamirpet,Ready to moveConstruction Status,1100 
seller,OWNER,6 , 2.2 Cr,4000 ,Mokila,Under ConstructionConstruction Status,4000 
seller,OWNER,6 , 2.2 Cr,4000 ,Mokila,Under ConstructionConstruction Status,4000 
seller,OWNER,6 , 2.2 Cr,4000 ,Mokila,Under ConstructionConstruction Status,4000 
seller,OWNER,6 , 2.2 Cr,4000 ,Mokila,Under ConstructionConstruction Status,4000 
seller,OWNER,6 , 2.2 Cr,4000 ,Mokila,Under ConstructionConstruction Status,4000 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,Residential Plot, 18.18 L,2727 ,Chevella,ResaleNew/Resale,2727 
seller,OWNER,3 , 43.05 L,1230 ,Miyapur,Under ConstructionConstruction Status,1230 
seller,OWNER,2 , 38.5 L,1150 ,Aminpur,Under ConstructionConstruction Status,1150 
seller,OWNER,3 , 56.65 L,1590 ,Chandanagar,Under ConstructionConstruction Status,1590 
seller,OWNER,2 , 56.17 L,1605 ,Miyapur,Under ConstructionConstruction Status,1605 
seller,OWNER,3 , 55.82 L,1595 ,Chandanagar Vill,Under ConstructionConstruction Status,1595 
seller,OWNER,2 , 46.9 L,1340 ,Chandanagar Vill,Under ConstructionConstruction Status,1340 
seller,OWNER,2 , 35.87 L,1025 ,Miyapur,Under ConstructionConstruction Status,1025 
seller,OWNER,2 , 37.1 L,1060 ,Miyapur,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 43.05 L,1230 ,Miyapur,Under ConstructionConstruction Status,1230 
seller,OWNER,2 , 38.5 L,1100 ,Miyapur,Under ConstructionConstruction Status,1100 
seller,OWNER,3 , 53.55 L,1530 ,Miyapur,Under ConstructionConstruction Status,1530 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,3 , 85 L,1450 ,Madhapur,Ready to moveConstruction Status,1450 
seller,OWNER,6 , 1.43 Cr,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,Residential Plot, 27 L,1450 ,Kothur,ResaleNew/Resale,1450 
Kosher Proctor I Pvt Ltd,AGENT,2 , 31.94 L,819 ,Nizampet,Under ConstructionConstruction Status,819 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,Residential Plot, 98 L,3600 ,Kundanpally,ResaleNew/Resale,3600 
seller,OWNER,2 , 72 L,1550 ,Godumakunta,Ready to moveConstruction Status,1550 
seller,OWNER,2 , 80 L,1126 ,Kukatpally,Ready to moveConstruction Status,1126 
seller,OWNER,2 , 40.84 L,1021 ,Chandanagar,Under ConstructionConstruction Status,1021 
seller,OWNER,2 , 55 L,1015 ,Ramachandra Puram,Ready to moveConstruction Status,1015 
seller,OWNER,3 , 66 L,1450 ,Nagaram Hyderabad South,Ready to moveConstruction Status,1450 
seller,OWNER,5 , 2.5 Cr,2800 ,Habsiguda,Ready to moveConstruction Status,2800 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 1.13 Cr,2700 ,Almasguda,ResaleNew/Resale,2700 
seller,OWNER,Residential Plot, 80 L,2925 ,Shamirpet,ResaleNew/Resale,2925 
seller,OWNER,Residential Plot, 20 L,2160 ,Kothur,ResaleNew/Resale,2160 
seller,OWNER,Residential Plot, 45 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,Residential Plot, 45 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,Residential Plot, 35 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,Residential Plot, 45 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,Residential Plot, 45 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,Residential Plot, 45 L,3285 ,Gollur,ResaleNew/Resale,3285 
seller,OWNER,3 , 86 L,1515 ,Kondapur,Ready to moveConstruction Status,1515 
seller,OWNER,3 , 92.5 L,1700 ,Kompally,Ready to moveConstruction Status,1700 
seller,OWNER,2 , 47.5 L,1125 ,Yapral,Under ConstructionConstruction Status,1125 
seller,OWNER,3 , 77.98 L,1654 ,Hayathnagar,Under ConstructionConstruction Status,1654 
Pranay Bandam,AGENT,3 , 48.45 L,1615 ,Balanagar,Under ConstructionConstruction Status,1615 
Propladder Hyderabad Branch,AGENT,3 , 1.14 Cr,2120 ,Kokapet,Under ConstructionConstruction Status,2120 
Shivasai Builders,AGENT,3 , 42 L,1200 ,Madhapur,Under ConstructionConstruction Status,1200 
Shivasai Builders,AGENT,1 , 12.5 L,629 ,Tukkuguda,Under ConstructionConstruction Status,629 
Ajay R Homes,AGENT,3 , 29 L,1300 ,Shamirpet,Under ConstructionConstruction Status,1300 
Ajay R Homes,AGENT,2 , 21 L,980 ,Shamirpet,Under ConstructionConstruction Status,980 
RK Properties,AGENT,4 , 2.8 Cr,3431 ,Narsingi,Ready to moveConstruction Status,3431 
RK Properties,AGENT,3 , 67.2 L,1600 ,Manchirevula,Under ConstructionConstruction Status,1600 
RK Properties,AGENT,3 , 71.4 L,1700 ,Manchirevula,Under ConstructionConstruction Status,1700 
RK Properties,AGENT,3 , 84 L,2000 ,Manchirevula,Under ConstructionConstruction Status,2000 
RK Properties,AGENT,3 , 92.4 L,2200 ,Hitech City,Under ConstructionConstruction Status,2200 
RK Properties,AGENT,3 , 1.26 Cr,3013 ,Kokapet,Under ConstructionConstruction Status,3013 
RK Properties,AGENT,2 , 68.92 L,1641 ,Nanakramguda,Under ConstructionConstruction Status,1641 
RK Properties,AGENT,3 , 81 L,1800 ,Hitech City,Under ConstructionConstruction Status,1800 
RK Properties,AGENT,3 , 92.44 L,2201 ,Nanakramguda,Under ConstructionConstruction Status,2201 
RK Properties,AGENT,3 , 1.09 Cr,2603 ,Kokapet,Under ConstructionConstruction Status,2603 
RK Properties,AGENT,3 , 1.09 Cr,2608 ,Kokapet,Under ConstructionConstruction Status,2608 
RK Properties,AGENT,3 , 1.17 Cr,2803 ,Kokapet,Under ConstructionConstruction Status,2803 
RK Properties,AGENT,3 , 1.17 Cr,2804 ,Kokapet,Under ConstructionConstruction Status,2804 
RK Properties,AGENT,3 , 1.26 Cr,3015 ,Kokapet,Under ConstructionConstruction Status,3015 
RK Properties,AGENT,3 , 67.2 L,1600 ,Kokapet,Under ConstructionConstruction Status,1600 
RK Properties,AGENT,3 , 1.08 Cr,2400 ,Hitech City,Under ConstructionConstruction Status,2400 
RK Properties,AGENT,3 , 1.68 Cr,4000 ,Kokapet,Under ConstructionConstruction Status,4000 
RK Properties,AGENT,2 , 54.6 L,1300 ,Hitech City,Under ConstructionConstruction Status,1300 
RK Properties,AGENT,3 , 67.2 L,1600 ,Nanakramguda,Under ConstructionConstruction Status,1600 
RK Properties,AGENT,2 , 57.12 L,1360 ,Nanakramguda,Under ConstructionConstruction Status,1360 
RK Properties,AGENT,2 , 57.12 L,1360 ,Hitech City,Under ConstructionConstruction Status,1360 
RK Properties,AGENT,3 , 1.17 Cr,2800 ,Hitech City,Under ConstructionConstruction Status,2800 
RK Properties,AGENT,3 , 84 L,2000 ,Hitech City,Under ConstructionConstruction Status,2000 
RK Properties,AGENT,3 , 78.12 L,1860 ,Nanakramguda,Under ConstructionConstruction Status,1860 
RK Properties,AGENT,3 , 1.14 Cr,2076 ,Bachupally,Under ConstructionConstruction Status,2076 
RK Properties,AGENT,3 , 84 L,2000 ,Kokapet,Under ConstructionConstruction Status,2000 
RK Properties,AGENT,3 , 1.56 Cr,2601 ,Nanakramguda,Under ConstructionConstruction Status,2601 
RK Properties,AGENT,3 , 1.43 Cr,2400 ,Nanakramguda,Under ConstructionConstruction Status,2400 
RK Properties,AGENT,3 , 1.32 Cr,2201 ,Nanakramguda,Under ConstructionConstruction Status,2201 
RK Properties,AGENT,3 , 2.4 Cr,4001 ,Nanakramguda,Under ConstructionConstruction Status,4001 
RK Properties,AGENT,3 , 1.79 Cr,3000 ,Nanakramguda,Under ConstructionConstruction Status,3000 
RK Properties,AGENT,3 , 2.39 Cr,4000 ,Nanakramguda,Under ConstructionConstruction Status,4000 
RK Properties,AGENT,3 , 95.98 L,1600 ,Narsingi,Under ConstructionConstruction Status,1600 
RK Properties,AGENT,3 , 1.07 Cr,1800 ,Manchirevula,Under ConstructionConstruction Status,1800 
RK Properties,AGENT,3 , 1.19 Cr,2000 ,Nanakramguda,Under ConstructionConstruction Status,2000 
RK Properties,AGENT,3 , 1.43 Cr,2400 ,Nanakramguda,Under ConstructionConstruction Status,2400 
RK Properties,AGENT,3 , 1.43 Cr,2400 ,Manchirevula,Under ConstructionConstruction Status,2400 
RK Properties,AGENT,2 , 77.98 L,1300 ,Manchirevula,Under ConstructionConstruction Status,1300 
RK Properties,AGENT,4 , 2.39 Cr,4000 ,Nanakramguda,Under ConstructionConstruction Status,4000 
RK Properties,AGENT,2 , 77.98 L,1300 ,Nanakramguda,Under ConstructionConstruction Status,1300 
RK Properties,AGENT,3 , 1.07 Cr,1800 ,Nanakramguda,Under ConstructionConstruction Status,1800 
